Executable,DllName
RecoveryDrive.exe,WIMGAPI.DLL
RecoveryDrive.exe,UxTheme.dll
RecoveryDrive.exe,VSSAPI.DLL
RecoveryDrive.exe,ReAgent.dll
RecoveryDrive.exe,WDSCORE.dll
RecoveryDrive.exe,bcd.dll
RecoveryDrive.exe,WOFUTIL.dll
RecoveryDrive.exe,WINHTTP.dll
redircmp.exe,logoncli.dll
redircmp.exe,netutils.dll
redirusr.exe,logoncli.dll
redirusr.exe,netutils.dll
Register-CimProvider.exe,prvdmofcomp.dll
rekeywiz.exe,EFSADU.dll
rekeywiz.exe,MPR.dll
rekeywiz.exe,DSROLE.dll
rekeywiz.exe,CRYPTUI.dll
relog.exe,pdh.dll
RelPost.exe,ReAgent.dll
RelPost.exe,wer.dll
RelPost.exe,VERSION.dll
rendom.exe,DNSAPI.dll
rendom.exe,logoncli.dll
rendom.exe,netutils.dll
rendom.exe,DSPARSE.dll
rendom.exe,NTDSAPI.dll
repadmin.exe,NTDSAPI.dll
repadmin.exe,logoncli.dll
repadmin.exe,netutils.dll
repadmin.exe,MPR.dll
repadmin.exe,DNSAPI.dll
repadmin.exe,DSROLE.dll
repadmin.exe,certcli.dll
repadmin.exe,Secur32.dll
repair-bde.exe,BDEREPAIR.dll
RMActivate.exe,CRYPTSP.dll
RMActivate_isv.exe,CRYPTSP.dll
RMActivate_ssp.exe,CRYPTSP.dll
RMActivate_ssp_isv.exe,CRYPTSP.dll
rmttpmvscmgrsvr.exe,profapi.dll
rmttpmvscmgrsvr.exe,WinSCard.dll
RpcPing.exe,WINHTTP.dll
RpcPing.exe,credui.dll
RpcPing.exe,SspiCli.dll
rstrui.exe,SRCORE.dll
runas.exe,credui.dll
runas.exe,netutils.dll
runas.exe,SspiCli.dll
runexehelper.exe,USERENV.dll
RuntimeBroker.exe,RMCLIENT.dll
rwinsta.exe,WINSTA.dll
sdbinst.exe,apphelp.dll
sdclt.exe,SPP.dll
sdclt.exe,ReAgent.dll
sdclt.exe,wer.dll
sdclt.exe,SspiCli.dll
sdclt.exe,MPR.dll
sdclt.exe,UxTheme.dll
sdclt.exe,WTSAPI32.dll
sdclt.exe,VSSAPI.DLL
